page_number,item_number,onderdeel,materiaal,lengte,breedte,dikte,l1,l2,b1,b2,pro_methode,opmerkingen,source_line,is_te_bestellen
11,Schuren,"Accura:
BB_01 en BB_02 na handwerk pas afsjangen
Opus:
- Hoeken recht frezen van zijden (BK_Dressing_02-03-04)
Handwerk:
- BB_01 en BB_02 met elkaar verbinden (achteraf afsjangen)
- 2x L-greep monteren (zie tek)
- Uitsparing in zijden afsjangen (1 kantje) info JW
Glasdeur met smal zwart profiel en helder glas,
zonder onderverdeling",,,,,,,,,,,"Schuren Accura:
BB_01 en BB_02 na handwerk pas afsjangen
Opus:
- Hoeken recht frezen van zijden (BK_Dressing_02-03-04)
Handwerk:
- BB_01 en BB_02 met elkaar verbinden (achteraf afsjangen)
- 2x L-greep monteren (zie tek)
- Uitsparing in zijden afsjangen (1 kantje) info JW
Glasdeur met smal zwart profiel en helder glas,
zonder onderverdeling",False
11,AANV_L,Massief_PM030x30ML,315,30,30,"Gannomat
Massief",,,,,,,"AANV_L Massief_PM030x30ML 315 30 30 Gannomat
Massief    ",False
11,1,AANV_L,Massief_PM030x30ML,1,030,30,,,,,,,1 AANV_L Massief_PM030x30ML 315 30 30,False
12,AFWZ_L,MDF 19mm AFQMxB,2638,396,19,Standaard,,,,,,,"AFWZ_L MDF 19mm AFQMxB 2638 396 19 Standaard Fineer
eik
1mm Fineer
eik
1mm Fineer
eik
1mm Fineer
eik
1mm",False
12,AFWZ_L,MDF 19mm AFQMxB,1750,395,19,Standaard,,,,,,,"AFWZ_L MDF 19mm AFQMxB 1750 395 19 Standaard Fineer
eik
1mm Fineer
eik
1mm Fineer
eik
1mm Fineer
eik
1mm",False
12,AFWZ_R,MDF 19mm AFQMxB,2038,396,19,Standaard,,,,,,,"AFWZ_R MDF 19mm AFQMxB 2038 396 19 Standaard Fineer
eik
1mm Fineer
eik
1mm Fineer
eik
1mm Fineer
eik
1mm",False
12,BB_01,MDF 31mm AFQMxB,387.5,396,31,"Reichenbach
er",,,,,,,"BB_01 MDF 31mm AFQMxB 387.5 396 31 Reichenbach
er Fineer
eik
1mm Fineer
eik
1mm  Fineer
eik
1mm",False
12,1,AFWZ_L,MDF,1,19,2638,,,,,Standaard,,1 AFWZ_L MDF 19mm AFQMxB 2638 396 19 Standaard eik eik eik eik L+B=20mm overmaat,False
12,1,AFWZ_R,MDF,1,19,2038,,,,,Standaard,,1 AFWZ_R MDF 19mm AFQMxB 2038 396 19 Standaard eik eik eik eik L+B=20mm overmaat,False
12,1,BB_01,MDF,1,01,31,,,,,,,"1 BB_01 MDF 31mm AFQMxB 387.5 396 31 eik eik eik Achteraf afsjangen, B=20mm overmaat",False
